Line #,Word
53,τὸν
53,μὲν
53,ὑποδμηθεῖσα
53,κελαινεφέι
53,Κρονίωνι
54,αὐτὰρ
54,Ἰφικλῆα
54,δορυσσόῳ
54,Ἀμφιτρύωνι
55,κεκριμένην
55,γενεήν
55,τὸν
55,μὲν
55,βροτῷ
55,ἀνδρὶ
55,μιγεῖσα
56,τὸν
56,δὲ
56,Διὶ
56,Κρονίωνι
56,θεῶν
56,σημάντορι
56,πάντων
57,Ὃς
57,καὶ
57,Κύκνον
57,ἔπεφνεν
57,Ἀρητιάδην
57,μεγάθυμον
58,εὗρε
58,γὰρ
58,ἐν
58,τεμένει
58,ἑκατηβόλου
58,Ἀπόλλωνος
59,αὐτὸν
59,καὶ
59,πατέρα
59,ὃν
59,Ἄρη'
59,ἄατον
59,πολέμοιο
60,τεύχεσι
60,λαμπομένους
60,σέλας
60,ὣς
60,πυρὸς
60,αἰθομένοιο
61,ἑσταότ'
61,ἐν
61,δίφρῳ
61,χθόνα
61,δ'
61,ἔκτυπον
61,ὠκέες
61,ἵπποι
62,νύσσοντες
62,χηλῇσι
62,κόνις
62,δέ
62,σφ'
62,ἀμφιδεδήει
63,κοπτομένη
63,πλεκτοῖσιν
63,ὑφ'
63,ἅρμασι
63,καὶ
63,ποσὶν
63,ἵππων
64,ἅρματα
64,δ'
64,εὐποίητα
64,καὶ
64,ἄντυγες
64,ἀμφαράβιζον
65,ἵππων
65,ἱεμένων
65,κεχάρητο
65,δὲ
65,Κύκνος
65,ἀμύμων
66,ἐλπόμενος
66,Διὸς
66,υἱὸν
66,ἀρήιον
66,ἡνίοχόν
66,τε
67,χαλκῷ
67,δῃώσειν
67,καὶ
67,ἀπὸ
67,κλυτὰ
67,τεύχεα
67,δύσειν
68,ἀλλά
68,οἱ
68,εὐχωλέων
68,οὐκ
68,ἔκλυε
68,Φοῖβος
68,Ἀπόλλων
69,αὐτὸς
69,γάρ
69,οἱ
69,ἐπῶρσε
69,βίην
69,Ἡρακληείην
70,πᾶν
70,δ'
70,ἄλσος
70,καὶ
70,βωμὸς
70,Ἀπόλλωνος
70,Παγασαίου
71,λάμπεν
71,ὑπαὶ
71,δεινοῖο
71,θεοῦ
71,τευχέων
71,τε
71,καὶ
71,αὐτοῦ
72,πῦρ
72,δ'
72,ὣς
72,ὀφθαλμῶν
72,ἀπελάμπετο
72,τίς
72,κεν
72,ἐκείνου
73,ἔτλη
73,θνητὸς
73,ἐὼν
73,κατεναντίον
73,ὁρμηθῆναι
74,πλήν
74,γ'
74,Ἡρακλῆος
74,καὶ
74,κυδαλίμου
74,Ἰολάου;
75,κείνων
75,γὰρ
75,μεγάλη
75,τε
75,βίη
75,καὶ
75,χεῖρες
75,ἄαπτοι
76,ἐξ
76,ὤμων
76,ἐπέφυκον
76,ἐπὶ
76,στιβαροῖσι
76,μέλεσσιν
77,ὅς
77,ῥα
77,τόθ'
77,ἡνίοχον
77,προσέφη
77,κρατερὸν
77,Ἰόλαον
78,Ἥρως
78,ὦ
78,Ἰόλαε
78,βροτῶν
78,πολὺ
78,φίλτατε
78,πάντων
79,ἦ
79,τι
79,μέγ'
79,ἀθανάτους
79,μάκαρας
79,τοὶ
79,Ὄλυμπον
79,ἔχουσιν
80,ἤλιτεν
80,Ἀμφιτρύων
80,ὅτ'
80,ἐυστέφανον
80,ποτὶ
80,Θήβην
81,ἦλθε
81,λιπὼν
81,Τίρυνθον
81,ἐυκτίμενον
81,πτολίεθρον
82,κτείνας
82,Ἠλεκτρύωνα
82,βοῶν
82,ἕνεκ'
82,εὐρυμετώπων
83,ἵκετο
83,δ'
83,ἐς
83,Κρείοντα
83,καὶ
83,Ἡνιόχην
83,τανύπεπλον
84,οἵ
84,ῥά
84,μιν
84,ἠσπάζοντο
84,καὶ
84,ἄρματα
84,πάντα
84,παρεῖχον
85,ἣ
85,δίκη
85,ἔσθ'
85,ἱκέτῃσι
85,τίον
85,δ'
85,ἄρα
85,κηρόθι
85,μᾶλλον
86,ζῶε
86,δ'
86,ἀγαλλόμενος
86,σὺν
86,ἐυσφύρῳ
86,Ἠλεκτρυώνῃ
87,ᾗ
87,ἀλόχῳ
87,τάχα
87,δ'
87,ἄμμες
87,ἐπιπλομένων
87,ἐνιαυτῶν
88,γεινόμεθ'
88,οὔτε
88,φυὴν
88,ἐναλίγκιοι
88,οὔτε
88,νόημα
89,σός
89,τε
89,πατὴρ
89,καὶ
89,ἐγώ
89,τοῦ
89,μὲν
89,φρένας
89,ἐξέλετο
89,Ζεύς
90,ὃς
90,προλιπὼν
90,σφέτερόν
