word,lemma,work,book_n,line_n,word_n
ἀτροπος,ἄτροπος,,,,
χλωρὴ,χλωρή,,,,
ἀγλαί̈ῃς,ἀγλαί̈α,,,,
ἀγλαί̈ῃ,ἀγλαί̈α,,,,
ἀγλαί̈αι,ἀγλαί̈α,,,,
μελάνθησάν,μελαίνω,,,,
λαγὸς,λαγών,,,,
ῥυτὰ,ῥυτός,,,,
ἴδριές,ἴδρις,,,,
θεμιστονόην,θεμιστονόη,,,,
σαρκὸς,σάρξ,,,,
λωβητὸς,λωβητός,,,,
ἀποθρῴσκωσιν,ἀποθρῴσκω,,,,
αἴγειροί,αἴγειρος,,,,
ἰαωλκὸς,ἰαωλκός,,,,
ἄνθειά,ἄνθεια,,,,
προϊδέσθαι,προεῖδον,,,,
ὀρθὰς,ὀρθός,,,,
ἄραβός,ἄραβος,,,,
κόρυθός,κόρυθος,,,,
ἐπιθρῴσκουσα,ἐπιθρῴσκω,,,,
εἴκελά,εἴκελος,,,,
κακτάμεναι,κατακτάομαι,,,,
νίσσοντ’,νίσσομαι,,,,
ἀιδὲς,ἀιδής,,,,
κυδοιμὸς,κυδοιμός,,,,
κυδοιμὸν,κυδοιμός,,,,
ὑμεναίου,ὑμέναιος,,,,
ὑμεναίους,ὑμέναιος,,,,
ὑμεναίων,ὑμέναιος,,,,
χάρμης,χάρμη,,,,
λαιμῷ,λαιμός,,,,
λαιμοῖο,λαιμός,,,,
κεραυνῶν,κεραυνός,,,,
κεραυνοί,κεραυνός,,,,
πηληι+άδης,πηλείδης,,,,
πηληϊάδαο,πηλείδης,,,,
προΐαψεν,προϊάπτω,,,,
ἀπερείσι’,ἀπερείσιος,,,,
Ὀλύμπια,Ὀλύμπιος,,,,
οἶκόνδε,οἶκος,,,,
οἶκόνδ’,οἶκος,,,,
οὔτ’,οὔτε,,,,
οὔθ’,οὔτε,,,,
αίδαο,ἅιδης,,,,
ἀΐδαο,ἅιδης,,,,
ἀΐδεω,ἅιδης,,,,
ἀΐδῃ,ἅιδης,,,,
ἀΐδην,ἅιδης,,,,
ἄϊδος,ἅιδης,,,,
περ,περ,,,,
θ’,τε,,,,
ἄρ’,ἄρα,,,,
ἔθ’,ἔτι,,,,
κάτ’,κατά,,,,
πάρ’,παρά,,,,
τόθ’,τότε,,,,
ἀεικέϊ,ἀεικής,,,,
ἀταρβέϊ,ἀραρβής,,,,
ἔτ’,ἔτι,,,,
ὀϊόμεθ’,οἴομαι,,,,
πέρ,περ,,,,
ἀτρεΐδα,ἀτρείδης,,,,
ἀτρεῖδαι,ἀτρείδης,,,,
ἀτρεΐδαο,ἀτρείδης,,,,
ἀτρεΐδας,ἀτρείδης,,,,
ἀτρεΐδεω,ἀτρείδης,,,,
ἀτρεΐδη,ἀτρείδης,,,,
ἀτρεΐδην,ἀτρείδης,,,,
Ἀτρείδης,ἀτρείδης,,,,
ἀτρείδης,ἀτρείδης,,,,
ἀτρεΐδης,ἀτρείδης,,,,
ἀτρεΐδῃς,ἀτρείδης,,,,
ἀτρεΐδῃσι,ἀτρείδης,,,,
ἀτρεΐδῃσιν,ἀτρείδης,,,,
ἀτρεΐδῃ,ἀτρείδης,,,,
τροίης,τροία,,,,
τροίη,τροία,,,,
εΰφρονι,εὔφρων,,,,
ἐΰφρονος,εὔφρων,,,,
ἐΰφροσι,εὔφρων,,,,
ἐΰφροσιν,εὔφρων,,,,
εΰφρονα,εὔφρων,,,,
ἡρακλέην,ἡρακλέης,,,,
ἡρακλέι,ἡρακλέης,,,,
ἡρακλέος,ἡρακλέης,,,,
ἡρακλῆα,ἡρακλέης,,,,
ἡρακλῆι,ἡρακλέης,,,,
ἡρακλῆος,ἡρακλέης,,,,
ἡρακλεΐδαο,ἡρακλεΐδης,,,,
ἡρακλεΐδην,ἡρακλεΐδης,,,,
τυδεΐδῃ,τυδεΐδης,,,,
τυδεΐδην,τυδεΐδης,,,,
τυδεΐδη,τυδεΐδης,,,,
τυδείδαο,τυδεΐδης,,,,
τυδεΐδεω,τυδεΐδης,,,,
τυδείδης,τυδεΐδης,,,,
τυδεΐδαο,τυδεΐδης,,,,
τυδείδη,τυδεΐδης,,,,
τυδείδῃ,τυδεΐδης,,,,
τυδείδην,τυδεΐδης,,,,
τυδέϊ,τυδεύς,,,,
πυρκαϊὴ,πυρκαϊά,,,,
πυρκαϊῇ,πυρκαϊά,,,,
πυρκαϊήν,πυρκαϊά,,,,
πυρκαϊὴν,πυρκαϊά,,,,
ἄγκε’,ἄγκος,,,,
ἀγλαϊη,ἀγλαία,,,,
ἀγλαΐῃς,ἀγλαία,,,,
ἀγλαΐῃσιν,ἀγλαία,,,,
ἁγνιάδαο,ἁγνιάδης,,,,
ἁγνιάδην,ἁγνιάδης,,,,
ἀγόρευ’,ἀγορεύω,,,,
ἀδελφειαὶ,ἀδελφειή,,,,
ἀδελφειῆς,ἀδελφειή,,,,
Ἅιδης,ἅιδης,,,,
ἀδριάδας,ἀδριάς,,,,
ἀδριάδες,ἀδριάς,,,,
ἁδρυάδας,ἀδρυάς,,,,
ἁδρυάδες,ἀδρυάς,,,,
ἁδρυάδεσσι,ἀδρυάς,,,,
ἁδρυάδεσσιν,ἀδρυάς,,,,
ἀεθλητῆρας,ἀθλητής,,,,
ἀεθλητῆρες,ἀθλητής,,,,
ἀεθλητῆρι,ἀθλητής,,,,
ἀεθλητῆρος,ἀθλητής,,,,
ἀεθλητῆρσιν,ἀθλητής,,,,
οὐδ’,οὐδέ,,,,
π,,,,,
αἰγεΐδην,αἰγεΐδης,,,,
ἀλκεΐδαο,ἀλκείδης,,,,
ἀλκεΐδην,ἀλκείδης,,,,
ἀλλήλῃς,ἀλλήλων,,,,
κατενήνοθεν,κατενήνοθεν,,,,
κατέδυσε,καταδύω,,,,
καθεζόμενοι,καθέζομαι,,,,
κατεσσεύεσθε,κατασεύομαι,,,,
κατεναντίη,κατεναντίος,,,,
κατεναντία,κατεναντίος,,,,
κατερρίγησεν,καταρριγέω,,,,
κατημάλδυνε,καταμαλδύνω,,,,
κάταντες,κατάντης,,,,
μετεστεναχίζετ’,μεταστοναχίζομαι,,,,
ὀϊστοῖς,ὀιστός,,,,
ἦ,ἦ,,,,
ἦ,ἦ,Argon.,1,134,2
ἦ,ἠμί,Argon.,1,306,1
σφ’,σφεῖς,,,,
οὗ,ὅς,,,,
